[Header]
ExperimentName,Example Experiment
Date,2024-08-07
Operator,John Doe
Temperature,25.0,25.5,26.0
Pressure,1.0,1.1,1.2
Comment,This is a test experiment

[Data]
Time,Value
0,0.1
1,0.15
2,0.2
3,0.25
4,0.3
5,0.35
6,0.4
7,0.45
8,0.5
9,0.55
10,0.6
11,0.65
12,0.7
13,0.75
14,0.8
15,0.85
16,0.9
17,0.95
18,1.0
19,1.05
20,1.1
21,1.15
22,1.2
23,1.25
24,1.3
25,1.35
26,1.4
27,1.45
28,1.5
29,1.55
30,1.6
31,1.65
32,1.7
33,1.75
34,1.8
35,1.85
36,1.9
37,1.95
38,2.0
39,2.05
40,2.1
41,2.15
42,2.2
43,2.25
44,2.3
45,2.35
46,2.4
47,2.45
48,2.5
49,2.55
50,2.6
51,2.65
52,2.7
53,2.75
54,2.8
55,2.85
56,2.9
57,2.95
58,3.0
59,3.05
60,3.1
61,3.15
62,3.2
63,3.25
64,3.3
65,3.35
66,3.4
67,3.45
68,3.5
69,3.55
70,3.6
71,3.65
72,3.7
73,3.75
74,3.8
75,3.85
76,3.9
77,3.95
78,4.0
79,4.05
80,4.1
81,4.15
82,4.2
83,4.25
84,4.3
85,4.35
86,4.4
87,4.45
88,4.5
89,4.55
90,4.6
91,4.65
92,4.7
93,4.75
94,4.8
95,4.85
96,4.9
97,4.95
98,5.0
99,5.05
100,5.1
101,5.15
102,5.2
103,5.25
104,5.3
105,5.35
106,5.4
107,5.45
108,5.5
109,5.55
110,5.6
111,5.65
112,5.7
113,5.75
114,5.8
115,5.85
116,5.9
117,5.95
118,6.0
119,6.05
120,6.1
121,6.15
122,6.2
123,6.25
124,6.3
125,6.35
126,6.4
127,6.45
128,6.5
129,6.55
130,6.6
131,6.65
132,6.7
133,6.75
134,6.8
135,6.85
136,6.9
137,6.95
138,7.0
139,7.05
140,7.1
141,7.15
142,7.2
143,7.25
144,7.3
145,7.35
146,7.4
147,7.45
148,7.5
149,7.55
150,7.6
151,7.65
152,7.7
153,7.75
154,7.8
155,7.85
156,7.9
157,7.95
158,8.0
159,8.05
160,8.1
161,8.15
162,8.2
163,8.25
164,8.3
165,8.35
166,8.4
167,8.45
168,8.5
169,8.55
170,8.6
171,8.65
172,8.7
173,8.75
174,8.8
175,8.85
176,8.9
177,8.95
178,9.0
179,9.05
180,9.1
181,9.15
182,9.2
183,9.25
184,9.3
185,9.35
186,9.4
187,9.45
188,9.5
189,9.55
190,9.6
191,9.65
192,9.7
193,9.75
194,9.8
195,9.85
196,9.9
197,9.95
198,10.0
199,10.05
200,10.1
201,10.15
202,10.2
203,10.25
204,10.3
205,10.35
206,10.4
207,10.45
208,10.5
209,10.55
210,10.6
211,10.65
212,10.7
213,10.75
214,10.8
215,10.85
216,10.9
217,10.95
218,11.0
219,11.05
220,11.1
221,11.15
222,11.2
223,11.25
224,11.3
225,11.35
226,11.4
227,11.45
228,11.5
229,11.55
230,11.6
231,11.65
232,11.7
233,11.75
234,11.8
235,11.85
236,11.9
237,11.95
238,12.0
239,12.05
240,12.1
241,12.15
242,12.2
243,12.25
244,12.3
245,12.35
246,12.4
247,12.45
248,12.5
249,12.55
250,12.6
251,12.65
252,12.7
253,12.75
254,12.8
255,12.85
256,12.9
257,12.95
258,13.0
259,13.05
260,13.1
261,13.15
262,13.2
263,13.25
264,13.3
265,13.35
266,13.4
267,13.45
268,13.5
269,13.55
