-ExperimentName	Example Experiment
-Date	2024-08-07
-Operator	John Doe
-Temperature	25.0	25.5	26.0
-Pressure	1.0	1.1	1.2
-Comment	This is a test experiment

0	0.1
1	0.15
2	0.2
3	0.25
4	0.3
5	0.35
6	0.4
7	0.45
8	0.5
9	0.55
10	0.6
11	0.65
12	0.7
13	0.75
14	0.8
15	0.85
16	0.9
17	0.95
18	1.0
19	1.05
20	1.1
21	1.15
22	1.2
23	1.25
24	1.3
25	1.35
26	1.4
27	1.45
28	1.5
29	1.55
30	1.6
31	1.65
32	1.7
33	1.75
34	1.8
35	1.85
36	1.9
37	1.95
38	2.0
39	2.05
40	2.1
41	2.15
42	2.2
43	2.25
44	2.3
45	2.35
46	2.4
47	2.45
48	2.5
49	2.55
50	2.6
51	2.65
52	2.7
53	2.75
54	2.8
55	2.85
56	2.9
57	2.95
58	3.0
59	3.05
60	3.1
61	3.15
62	3.2
63	3.25
64	3.3
65	3.35
66	3.4
67	3.45
68	3.5
69	3.55
70	3.6
71	3.65
72	3.7
73	3.75
74	3.8
75	3.85
76	3.9
77	3.95
78	4.0
79	4.05
80	4.1
81	4.15
82	4.2
83	4.25
84	4.3
85	4.35
86	4.4
87	4.45
88	4.5
89	4.55
90	4.6
91	4.65
92	4.7
93	4.75
94	4.8
95	4.85
96	4.9
97	4.95
98	5.0
99	5.05
